date,media_key,media_name,platform,placement_id,placement_name,placement_type,thirdparty_id,thirdparty_name,report_type,request_value,response_value,impression_value,click_value,revenue_usd,fill_rate,ctr,ecpm
2026-04-20,880605234,황금거위(iOS),,dwOiJPQUsoXKdMT,황금거위_미니게임1_RV_iOS,RV,34,ID 34,4,96,96,67,2,0.453229,69.79,2.99,6.7646
2026-04-20,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,0,Adpopcorn SSP,1,1179,333,218,56,1.168035,18.49,25.69,5.3580
2026-04-20,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,21,AppLovin WF,4,0,0,5,5,0.010000,0.00,100.00,2.0000
2026-04-20,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,16,Fyber,4,296,0,11,3,0.011000,3.72,27.27,1.0000
2026-04-20,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,34,ID 34,4,725,521,365,12,0.153155,50.34,3.29,0.4196
2026-04-20,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,18,Pangle,4,261,214,150,11,0.050000,57.47,7.33,0.3333
2026-04-20,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,14,Vungle,4,0,0,3,2,0.000739,0.00,66.67,0.2463
2026-04-20,880605234,황금거위(iOS),,889ZlHXzRQjWWmw,황금거위_미니게임2_RV_iOS,RV,0,Adpopcorn SSP,1,83,29,10,2,0.049858,12.05,20.00,4.9858
2026-04-20,880605234,황금거위(iOS),,889ZlHXzRQjWWmw,황금거위_미니게임2_RV_iOS,RV,34,ID 34,4,69,69,50,0,0.216831,72.46,0.00,4.3366
2026-04-20,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,0,Adpopcorn SSP,1,2105,746,359,115,2.172984,17.05,32.03,6.0529
2026-04-20,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,21,AppLovin WF,4,0,0,3,0,0.000000,0.00,0.00,0.0000
2026-04-20,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,16,Fyber,4,350,0,5,1,0.005000,1.43,20.00,1.0000
2026-04-20,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,34,ID 34,4,1189,984,498,21,0.780698,41.88,4.22,1.5677
2026-04-20,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,18,Pangle,4,290,240,106,20,0.040000,36.55,18.87,0.3774
2026-04-20,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,14,Vungle,4,0,0,2,0,0.000630,0.00,0.00,0.3150
2026-04-20,880605234,황금거위(iOS),,efq4IKkCEZ9y55e,황금거위_보너스캐시_RV_iOS,RV,0,Adpopcorn SSP,1,138,32,8,0,0.017496,5.80,0.00,2.1870
2026-04-20,880605234,황금거위(iOS),,efq4IKkCEZ9y55e,황금거위_보너스캐시_RV_iOS,RV,21,AppLovin WF,4,0,0,1,1,0.000000,0.00,100.00,0.0000
2026-04-20,880605234,황금거위(iOS),,efq4IKkCEZ9y55e,황금거위_보너스캐시_RV_iOS,RV,16,Fyber,4,2,0,0,0,0.000000,0.00,0.00,0.0000
2026-04-20,880605234,황금거위(iOS),,efq4IKkCEZ9y55e,황금거위_보너스캐시_RV_iOS,RV,34,ID 34,4,118,118,58,0,0.251836,49.15,0.00,4.3420
2026-04-20,152630613,황금거위(AOS),,nrbMhFxX4AEcFxq,황금거위_출석체크_RV_Android,RV,0,Adpopcorn SSP,1,814,255,127,28,0.640507,15.60,22.05,5.0434
2026-04-20,152630613,황금거위(AOS),,nrbMhFxX4AEcFxq,황금거위_출석체크_RV_Android,RV,21,AppLovin WF,4,0,0,5,3,0.010000,0.00,60.00,2.0000
2026-04-20,152630613,황금거위(AOS),,nrbMhFxX4AEcFxq,황금거위_출석체크_RV_Android,RV,16,Fyber,4,241,0,8,4,0.008000,3.32,50.00,1.0000
2026-04-20,152630613,황금거위(AOS),,nrbMhFxX4AEcFxq,황금거위_출석체크_RV_Android,RV,34,ID 34,4,486,329,158,7,0.273124,32.51,4.43,1.7286
2026-04-20,152630613,황금거위(AOS),,nrbMhFxX4AEcFxq,황금거위_출석체크_RV_Android,RV,18,Pangle,4,214,196,85,17,0.030000,39.72,20.00,0.3529
2026-04-20,152630613,황금거위(AOS),,nrbMhFxX4AEcFxq,황금거위_출석체크_RV_Android,RV,14,Vungle,4,0,0,1,1,0.000610,0.00,100.00,0.6100
2026-04-20,880605234,황금거위(iOS),,pri9mYRn7kAgmbp,황금거위_출석체크_RV_iOS,RV,0,Adpopcorn SSP,1,61,18,0,0,0.000000,0.00,0.00,0.0000
2026-04-20,880605234,황금거위(iOS),,pri9mYRn7kAgmbp,황금거위_출석체크_RV_iOS,RV,34,ID 34,4,59,59,30,1,0.144200,50.85,3.33,4.8067
2026-04-20,152630613,황금거위(AOS),,XvgdJsTGilO5s0n,황금거위_황금알_RV_Android,RV,0,Adpopcorn SSP,1,3,0,0,0,0.000000,0.00,0.00,0.0000
2026-04-20,152630613,황금거위(AOS),,XvgdJsTGilO5s0n,황금거위_황금알_RV_Android,RV,34,ID 34,4,3,3,2,0,0.006050,66.67,0.00,3.0250
2026-04-20,152630613,황금거위(AOS),,TKeAFuGGcj4nJkY,BANNER_320x50_ADNROID,배너,0,Adpopcorn SSP,1,5872,3498,3374,1,0.162478,57.46,0.03,0.0482
2026-04-20,880605234,황금거위(iOS),,K7ycD8gltcncKGp,BANNER_320x50_iOS,배너,0,Adpopcorn SSP,1,413,283,269,0,0.075372,65.13,0.00,0.2802
2026-04-20,152630613,황금거위(AOS),,4zLAQUTzDGMz2Oi,황금거위_황금알_IV_Android,전면,0,Adpopcorn SSP,1,10510,2545,1803,668,8.154957,17.16,37.05,4.5230
2026-04-20,152630613,황금거위(AOS),,4zLAQUTzDGMz2Oi,황금거위_황금알_IV_Android,전면,21,AppLovin WF,4,0,0,57,34,0.060000,0.00,59.65,1.0526
2026-04-20,152630613,황금거위(AOS),,4zLAQUTzDGMz2Oi,황금거위_황금알_IV_Android,전면,16,Fyber,4,3129,0,240,115,0.240000,7.67,47.92,1.0000
2026-04-20,152630613,황금거위(AOS),,4zLAQUTzDGMz2Oi,황금거위_황금알_IV_Android,전면,34,ID 34,4,7396,5051,3623,202,4.786989,48.99,5.58,1.3213
2026-04-20,152630613,황금거위(AOS),,4zLAQUTzDGMz2Oi,황금거위_황금알_IV_Android,전면,18,Pangle,4,2342,1470,1169,207,0.460000,49.91,17.71,0.3935
2026-04-20,152630613,황금거위(AOS),,4zLAQUTzDGMz2Oi,황금거위_황금알_IV_Android,전면,14,Vungle,4,0,0,27,6,0.011024,0.00,22.22,0.4083
2026-04-20,880605234,황금거위(iOS),,BppkJs2NQiqilXy,황금거위_황금알_IV_iOS,전면,0,Adpopcorn SSP,1,977,267,69,14,0.468063,7.06,20.29,6.7835
2026-04-20,880605234,황금거위(iOS),,BppkJs2NQiqilXy,황금거위_황금알_IV_iOS,전면,16,Fyber,4,6,0,1,1,0.001000,16.67,100.00,1.0000
2026-04-20,880605234,황금거위(iOS),,BppkJs2NQiqilXy,황금거위_황금알_IV_iOS,전면,34,ID 34,4,835,835,569,44,1.998276,68.14,7.73,3.5119
